OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
7104	517607	1	1	1	1	Jindřiška	Schmidtová	F			54	projektant	Rokytnice	99	1	A
7104	517607	1	1	1	2	Petr	Obrtel	M			58	podnikatel	Rokytnice	99	1	A
7104	517607	1	1	1	3	Petr	Havlík	M			58	stavební technik	Rokytnice	99	1	A
7104	517607	1	1	1	4	Helena	Tesařová	F			46	fyzioterapeut	Rokytnice	99	1	A
7104	517607	1	1	1	5	Tomáš	Pavlík	M			42	stavbyvedoucí	Rokytnice	99	1	A
7104	517607	1	1	1	6	Ivana	Mackovíková	F	Mgr.		42	administrativní pracovník	Rokytnice	99	1	A
7104	517607	1	1	1	7	Josef	Bochňák	M			57	technik	Rokytnice	1	1	A
7104	517607	1	1	1	8	Zdeněk	Sedláček	M			55	opravář zemědělských strojů	Rokytnice	99	1	A
7104	517607	1	1	1	9	Tomáš	Koukal	M			32	podnikatel	Rokytnice	99	1	A
7104	517607	1	1	1	10	Otto	Schmidt	M	Ing.		32	technolog	Rokytnice	99	1	A
7104	517607	1	1	1	11	Josef	Ulehla	M			53	OSVČ	Rokytnice	99	1	A
7104	517607	1	1	1	12	Jolana	Přikrylová	F			54	administrativa	Rokytnice	99	1	A
7104	517607	1	1	1	13	Milan	Machalík	M			52	dělník	Rokytnice	99	1	A
7104	517607	1	1	1	14	Jiří	Havlík	M			52	optik	Rokytnice	99	1	A
7104	517607	1	1	1	15	Jarmila	Jurečková	F	Mgr.		43	učitelka ZŠ	Rokytnice	1	1	A
7104	517607	1	2	902	1	Kamil	Malenda	M			51	starosta	Rokytnice	99	80	A
7104	517607	1	2	902	2	Petr	Kratochvil	M			53	zaměstnanec	Rokytnice	99	80	A
7104	517607	1	2	902	3	Petr	Čechák	M			54	zaměstnanec	Rokytnice	99	80	A
7104	517607	1	2	902	4	Pavel	Kadlíček	M			53	OSVČ	Rokytnice	99	80	A
7104	517607	1	2	902	5	Jaromír	Mackovík	M			39	zaměstnanec	Rokytnice	99	80	A
7104	517607	1	2	902	6	Jan	Dostál	M	Ing.		67	místostarosta	Rokytnice	99	80	A
7104	517607	1	2	902	7	Jiří	Zoubek	M			39	zaměstnanec	Rokytnice	99	80	A
7104	517607	1	2	902	8	Radek	Měrák	M			48	zaměstnanec	Rokytnice	99	80	A
7104	517607	1	2	902	9	Lukáš	Kupec	M			19	student	Rokytnice	99	80	A
7104	517607	1	2	902	10	Jakub	Stojkov	M			37	zaměstnanec	Rokytnice	99	80	A
7104	517607	1	2	902	11	Miroslav	Složil	M			47	OSVČ	Rokytnice	99	80	A
7104	517607	1	2	902	12	Tomáš	Chromčík	M	Ing.		38	zaměstnanec	Rokytnice	99	80	A
7104	517607	1	2	902	13	Tomáš	Ondruška	M			40	podnikatel	Rokytnice	99	80	A
7104	517607	1	2	902	14	Daniel	Bochňák	M			33	zaměstnanec	Rokytnice	99	80	A
7104	517607	1	2	902	15	Aleš	Vymazal	M	Ing.		43	zaměstnanec	Rokytnice	99	80	A
7104	517607	1	3	901	1	Josef	Oščádal	M			60	dispečer	Rokytnice	99	80	A
7104	517607	1	3	901	2	Stanislav	Hudec	M	Ing.		50	vedoucí pokusné stanice VURV	Rokytnice	99	80	A
7104	517607	1	3	901	3	Vladimíra	Siwková	F			54	vedoucí pošty	Rokytnice	99	80	A
7104	517607	1	3	901	4	Michal	Vlček	M	Ing.		53	hlavní technik	Rokytnice	99	80	A
7104	517607	1	3	901	5	Pavel	Calábek	M	RNDr.	Ph.D.	53	vysokoškolský učitel Univerzity Palackého	Rokytnice	99	80	A
7104	517607	1	3	901	6	Jiří	Úlehla	M	Ing.		30	projektant, technolog	Rokytnice	99	80	A
7104	517607	1	3	901	7	Michal	Kubánek	M	Mgr.		40	lektor Univerzity Palackého	Rokytnice	99	80	A
7104	517607	1	3	901	8	Milan	Čechák	M			73	důchodce	Rokytnice	99	80	A
7104	517607	1	3	901	9	Radka	Přibylová	F	Bc.		46	zdravotní sestra	Rokytnice	99	80	A
7104	517607	1	3	901	10	Zdeněk	Sedláček	M			29	živnostník	Rokytnice	99	80	A
7104	517607	1	3	901	11	Lucie	Zalotěnková	F			46	zdravotní sestra	Rokytnice	99	80	A
7104	517607	1	3	901	12	Ivana	Vránová	F			56	systémový specialista	Rokytnice	99	80	A
7104	517607	1	3	901	13	David	Křemínský	M			42	elektrodispečer, strojvedoucí	Rokytnice	99	80	A
7104	517607	1	3	901	14	Jaroslav	Kiml	M			59	zahradník	Rokytnice	99	80	A
7104	517607	1	3	901	15	Radmila	Zábranská	F			51	ekonomka	Rokytnice	99	80	A
