OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
5204	576786	1	1	902	1	Jaroslav	Syrovátka			47	OSVČ	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	2	904	1	Michal	Lebruška			47	skladník	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	3	903	1	Jan	Brokeš			30	elektronik	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	4	901	1	Petr	Tůma	Mgr.		54	starosta	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	1	902	2	Luboš	Mazura			47	údržbář	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	2	904	2	Lenka	Šreibrová	Mgr.		34	psycholog	Slatina nad Zdobnicí	99	80	A	F
5204	576786	1	3	903	2	Jakub	Lebruška	Ing.		29	stavbyvedoucí	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	4	901	2	Marcela	Lasáková			62	důchodkyně	Slatina nad Zdobnicí	99	80	A	F
5204	576786	1	1	902	3	Soňa	Mrštná			45	pracovník přepážky, specialista	Slatina nad Zdobnicí	99	80	A	F
5204	576786	1	2	904	3	Tomáš	Mazura			36	obchodník	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	3	903	3	Jan	Mareš			42	logistik nákupu	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	4	901	3	Radovan	Kubíček			45	revírník	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	1	902	4	Eva	Uhrovičová			54	asistentka ředitele policie ČR	Slatina nad Zdobnicí	99	80	A	F
5204	576786	1	2	904	4	Martin	Bednář			40	obsluha zemědělských strojů	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	3	903	4	Lenka	Šílová			38	zdravotní sestra	Slatina nad Zdobnicí	99	80	A	F
5204	576786	1	4	901	4	Václava	Paďourová			50	invalidní důchodce	Slatina nad Zdobnicí	99	80	A	F
5204	576786	1	1	902	5	Jiří	Čada	Ing.		30	vedoucí technického oddělení	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	2	904	5	Josef	Dušek	Ing.		53	ředitel akciové společnosti	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	3	903	5	Eliška	Čížková			23	odborný referent trhu práce	Slatina nad Zdobnicí	99	80	A	F
5204	576786	1	4	901	5	Martin	Michalička			50	živnostník	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	1	902	6	Ilona	Heřtová			49	vedoucí laboratoře	Slatina nad Zdobnicí	99	80	A	F
5204	576786	1	2	904	6	Miroslav	Mazura	Ing.		40	mechanizátor	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	3	903	6	Vladimír	Flégl			50	záchranář	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	4	901	6	Jan	Čížek	Ing.		58	agronom	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	1	902	7	Marek	Syrovátka	Ing.		40	specialista inovací	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	2	904	7	Martin	Šreibr	Ing.		41	technolog lepení Škoda Auto	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	3	903	7	Eva	Šípková	Bc.		36	přípravář staveb	Slatina nad Zdobnicí	99	80	A	F
5204	576786	1	4	901	7	Radek	Sokol			48	živnostník	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	1	902	8	Radek	Trojan			40	elektronik	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	2	904	8	Stanislav	Hynek			38	údržbář	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	3	903	8	Stanislav	Ulrych			66	důchodce	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	4	901	8	Tomáš	Machala	Ing.		41	konstruktér	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	1	902	9	Magdaléna	Mokrejšová	MUDr.		56	lékařka	Slatina nad Zdobnicí	99	80	A	F
5204	576786	1	2	904	9	Miroslav	Hovad			58	živnostník	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	3	903	9	David	Lebruška			23	hasič - technik - OZO	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	4	901	9	Jan	Býček			28	živnostník	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	1	902	10	Petra	Malá			33	mateřská dovolená	Slatina nad Zdobnicí	99	80	A	F
5204	576786	1	2	904	10	Vítězslav	Šípek			36	živnostník	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	3	903	10	Petr	Kubíček			47	elektromechanik	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	4	901	10	Pavel	Holubář			50	živnostník	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	1	902	11	Mariána	Dostálová			47	OSVČ	Slatina nad Zdobnicí	99	80	A	F
5204	576786	1	2	904	11	Jiří	Mačo			50	vedoucí směny	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	3	903	11	Michal	Mareš			44	OSVČ	Slatina nad Zdobnicí	99	80	A	M
5204	576786	1	4	901	11	Martina	Mihulková			42	odborný referent	Slatina nad Zdobnicí	99	80	A	F
