OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
4103	560367	1	1	47	1	Josef	Bečvář	M			55	dispečer	Horní Slavkov	47	47	A
4103	560367	1	1	47	2	Václav	Němec	M			49	dělník	Horní Slavkov	47	47	A
4103	560367	1	1	47	3	Vladimír	Lokajíček	M			69	důchodce	Horní Slavkov	47	47	A
4103	560367	1	1	47	4	Jana	Čepičková	F			69	důchodce	Horní Slavkov	47	47	A
4103	560367	1	2	5	1	Tomáš	Straka	M			48	jednatel firmy	Horní Slavkov	99	5	A
4103	560367	1	2	5	2	Jáchym	Akrman	M			49	OSVČ	Horní Slavkov	99	5	A
4103	560367	1	2	5	3	Zdeněk	Chlebuš	M	Bc.		47	ředitel TS	Horní Slavkov	99	5	A
4103	560367	1	2	5	4	Věra	Kratinová	F			51	technik	Horní Slavkov	99	5	A
4103	560367	1	2	5	5	Kristýna	Dobozi	F			35	účetní	Horní Slavkov	99	5	A
4103	560367	1	2	5	6	Daniel	Razím	M			34	OSVČ	Horní Slavkov	99	5	A
4103	560367	1	2	5	7	Pavel	Dvořák	M	Bc.		41	jednatel firmy	Horní Slavkov	99	5	A
4103	560367	1	2	5	8	Pavel	Janoušek	M	Ing.		48	IT specialista	Horní Slavkov	99	5	A
4103	560367	1	2	5	9	Pavel	Knaf	M			46	obchodní zástupce	Horní Slavkov	99	5	A
4103	560367	1	2	5	10	Bedřich	Vávra	M			75	důchodce	Horní Slavkov	99	5	A
4103	560367	1	2	5	11	Dagmar	Straková	F			70	učitelka	Horní Slavkov	99	5	A
4103	560367	1	2	5	12	Monika	Vávrová	F			38	dělnice	Horní Slavkov	99	5	A
4103	560367	1	2	5	13	Jaroslav	Vaněk	M			75	důchodce	Horní Slavkov	99	5	A
4103	560367	1	2	5	14	Jan	Uhlík	M			51	živnostník	Horní Slavkov	99	5	A
4103	560367	1	2	5	15	Luděk	Činčura	M			66	důchodce	Horní Slavkov	99	5	A
4103	560367	1	3	53	1	Petr	Čavojský	M	Ing.		58	ředitel dětského domova	Horní Slavkov	53	53	A
4103	560367	1	3	53	2	Jan	Vašíček	M			30	podnikatel	Horní Slavkov	53	53	A
4103	560367	1	3	53	3	Hana	Chlupáčková	F	Ing.		51	soukromý zemědělec	Horní Slavkov	53	53	A
4103	560367	1	3	53	4	Petr	Spal	M			38	mistr výroby	Horní Slavkov	53	53	A
4103	560367	1	3	53	5	Jan	Beer	M			51	OSVČ - bezpečnostní expert	Horní Slavkov	99	53	A
4103	560367	1	3	53	6	Jaroslav	Lapeš	M			50	OSVČ	Horní Slavkov	99	53	A
4103	560367	1	3	53	7	Iveta	Svobodová	F	Mgr.		57	ředitelka mateřské školy	Horní Slavkov	99	53	A
4103	560367	1	3	53	8	Jaroslav	Vašíček	M			22	sportovec	Horní Slavkov	99	53	A
4103	560367	1	3	53	9	Elvíra	Holinková	F	Mgr.		58	ředitelka pečovatelské služby	Horní Slavkov	99	53	A
4103	560367	1	3	53	10	Maria	Čerňavská	F	Mgr.		69	lékárnice	Horní Slavkov	53	53	A
4103	560367	1	3	53	11	Naděžda	Houšková	F	Mgr.		67	učitelka	Horní Slavkov	99	53	A
4103	560367	1	3	53	12	Jan	Beer	M			76	důchodce	Horní Slavkov	99	53	A
4103	560367	1	3	53	13	Jaroslava	Seidlová	F			77	učitelka	Horní Slavkov	99	53	A
4103	560367	1	3	53	14	Stanislav	Vašíček	M			56	podnikatel	Horní Slavkov	99	53	A
4103	560367	1	3	53	15	Magdalena	Čavojská	F	Mgr.		55	ředitelka základní školy	Horní Slavkov	99	53	A
4103	560367	1	4	7	1	Jiří	Grosman	M	Mgr. Bc.		50	speciální pedagog	Horní Slavkov	99	7	A
4103	560367	1	4	7	2	Martin	Hrubý	M			36	referent majetkové správy	Horní Slavkov	7	7	A
4103	560367	1	4	7	3	Pavel	Hadžega	M	Bc.		56	vychovatel	Horní Slavkov	99	7	A
4103	560367	1	4	7	4	Štěpánka	Ondrůjová	F			18	studentka střední zdravotní školy	Horní Slavkov	99	7	A
4103	560367	1	4	7	5	Petr	Vlach	M	Ing.	MBA	48	programátor	Horní Slavkov	99	7	A
4103	560367	1	4	7	6	Jaroslav	Kuncl	M	Bc.		62	asistent pedagoga na základní škole	Horní Slavkov	99	7	A
4103	560367	1	4	7	7	Zuzana	Gurinová	F			56	účetní	Horní Slavkov	99	7	A
4103	560367	1	4	7	8	Karolína	Svobodová	F			20	dělnice	Horní Slavkov	99	7	A
4103	560367	1	4	7	9	František	Bartoň	M			70	soukromý farmář	Horní Slavkov	99	7	A
4103	560367	1	4	7	10	Václav	Kišš	M			55	provozní pracovník údržby	Horní Slavkov	99	7	A
4103	560367	1	4	7	11	Nikola	Brislingerová	F	Mgr.		50	speciální pedagožka	Horní Slavkov	99	7	A
4103	560367	1	4	7	12	Petr	Matonoha	M			38	řidič	Horní Slavkov	99	7	A
4103	560367	1	4	7	13	Michaela	Komendová	F			33	dělnice	Horní Slavkov	99	7	A
4103	560367	1	4	7	14	Martin	Bulíček	M			47	technik	Horní Slavkov	99	7	A
4103	560367	1	4	7	15	Jan	Vorlíček	M			68	důchodce	Horní Slavkov	99	7	A
4103	560367	1	5	714	1	Jan	Leisner	M	Ing.		33	podnikatel, LajsiNET s.r.o.	Horní Slavkov	714	714	A
4103	560367	1	5	714	2	Pavel	Hadáček	M	Ing.		67	ekonom	Horní Slavkov	99	714	A
4103	560367	1	5	714	3	Jiří	Havel	M			50	podnikatel	Horní Slavkov	99	714	A
4103	560367	1	5	714	4	Petr	Bačina	M			34	podnikatel, LajsiNET s.r.o.	Horní Slavkov	99	714	A
4103	560367	1	5	714	5	Jan	Husák	M			34	pekař housek	Horní Slavkov	99	714	A
4103	560367	1	5	714	6	Pavlína	Hadáčková	F	Ing.		34	účetní	Horní Slavkov	99	714	A
4103	560367	1	5	714	7	Milan	Cipko	M			40	vedoucí řízení jakosti	Horní Slavkov	99	714	A
4103	560367	1	5	714	8	Petr	Tršo	M			46	policista	Horní Slavkov	99	714	A
4103	560367	1	5	714	9	Jaroslav	Pumpr	M			36	strojník Sokolovská uhelná a.s.	Horní Slavkov	99	714	A
4103	560367	1	5	714	10	Aleš	Kubinec	M			38	informační specialista	Horní Slavkov	99	714	A
4103	560367	1	5	714	11	Petr	Tršo	M			20	student	Horní Slavkov	99	714	A
4103	560367	1	5	714	12	Martin	Hanžlík	M			38	projektant	Horní Slavkov	99	714	A
4103	560367	1	5	714	13	Hana	Leisnerová	F	Mgr.		30	učitelka	Horní Slavkov	99	714	A
4103	560367	1	5	714	14	Jana	Bačinová	F	Bc.	DiS.	59	státní zaměstnanec	Horní Slavkov	99	714	A
4103	560367	1	5	714	15	Lenka	Leisnerová	F			31	obchodní referentka	Horní Slavkov	99	714	A
