OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
4103	538337	1	1	904	1	Martin	Pribol	Ing.		53	vedoucí technologie, místostarosta	Krásno	99	80	A	M
4103	538337	1	2	903	1	Vendula	Pokorná	Ing.		47	učitelka	Krásno	99	80	A	F
4103	538337	1	3	902	1	Petr	Zahrádka			50	vodohospodář, místostarosta města	Krásno	99	80	A	M
4103	538337	1	4	470	1	Jan	Kříž			32	notářský tajemník, příslušník aktivní zálohy AČR	Krásno	99	80	A	M
4103	538337	1	5	901	1	Josef	Havel			53	starosta města	Krásno	99	80	A	M
4103	538337	1	1	904	2	Petr	Ott			53	vedoucí závodu	Krásno	99	80	A	M
4103	538337	1	2	903	2	Tomáš	Fenkl	Ing.		44	státní zaměstnanec	Krásno	99	80	A	M
4103	538337	1	3	902	2	David	Pařízek			41	obchodní ředitel	Krásno	99	80	A	M
4103	538337	1	4	470	2	Erich	Kříž	Bc.		35	asistent poslance, příslušník aktivní zálohy AČR	Krásno	166	166	A	M
4103	538337	1	5	901	2	Tomáš	Brendl	Ing.		55	IT pracovník	Krásno	99	80	A	M
4103	538337	1	1	904	3	Jana	Brendlová			56	účetní	Krásno	99	80	A	F
4103	538337	1	2	903	3	Jaromír	Kuttner			58	podnikatel	Krásno	7	80	A	M
4103	538337	1	3	902	3	Lucie	Urbánková			34	mateřská dovolená	Krásno	99	80	A	F
4103	538337	1	4	470	3	Alena	Husák			45	OSVČ	Krásno	99	80	A	F
4103	538337	1	5	901	3	Miroslav	Kirejev			65	důchodce	Krásno	99	80	A	M
4103	538337	1	1	904	4	Václav	Zeman	Mgr.		45	lékárník	Krásno	99	80	A	M
4103	538337	1	2	903	4	Adam	Ďuračka			44	technik	Krásno	99	80	A	M
4103	538337	1	3	902	4	Robert	Pöselt			46	jednatel společnosti	Krásno	99	80	A	M
4103	538337	1	4	470	4	Roman	Schlossbauer			30	manažer	Krásno	99	80	A	M
4103	538337	1	5	901	4	Soňa	Hrušková			29	obchodní poradce	Krásno	99	80	A	F
4103	538337	1	1	904	5	Jan	Masopust	Ing.		56	stavební referent	Krásno	99	80	A	M
4103	538337	1	2	903	5	Veronika	Švábová			34	učitelka	Krásno	99	80	A	F
4103	538337	1	3	902	5	Jana	Molnárová			32	mateřská dovolená	Krásno	99	80	A	F
4103	538337	1	4	470	5	Uta	Nádeníčková			37	jednatelka společnosti	Krásno	99	80	A	F
4103	538337	1	5	901	5	Martin	Kompas			41	dělník	Krásno	99	80	A	M
4103	538337	1	1	904	6	Pavla	Mošnová			53	vedoucí provozovny	Krásno	99	80	A	F
4103	538337	1	2	903	6	Karel	Husák			44	podnikatel	Krásno	99	80	A	M
4103	538337	1	3	902	6	Vladislava	Zahrádková			45	vedoucí pracovnice v obchodu	Krásno	99	80	A	F
4103	538337	1	4	470	6	Matěj	Kvapil	Bc.		33	obchodní a projektový manažer	Krásno	99	80	A	M
4103	538337	1	5	901	6	Lenka	Kvapilová			55	referentka	Krásno	99	80	A	F
4103	538337	1	1	904	7	Michal	Štec			49	řidič, strojník	Krásno	99	80	A	M
4103	538337	1	2	903	7	Tomáš	Dlouhý			40	technik	Krásno	99	80	A	M
4103	538337	1	3	902	7	Petr	Kodýtek			41	OSVČ	Krásno	99	80	A	M
4103	538337	1	4	470	7	Jaroslav	Kuna			40	pracovník technické podpory	Krásno	99	80	A	M
4103	538337	1	5	901	7	Veronika	Budajová			30	ředitelka MŠ	Krásno	99	80	A	F
4103	538337	1	1	904	8	Vít	Nádeníček			34	jednatel společnosti	Krásno	99	80	A	M
4103	538337	1	2	903	8	Jiří	Kohlschreiber			44	technik	Krásno	99	80	A	M
4103	538337	1	3	902	8	Roman	Schlossbauer			58	korektor textů	Krásno	99	80	A	M
4103	538337	1	4	470	8	Petr	Kropáček	Bc.		47	řidič	Krásno	99	80	A	M
4103	538337	1	5	901	8	Eva	Dušková			46	OSVČ	Krásno	99	80	A	F
4103	538337	1	1	904	9	Michal	Urbánek			46	strojař	Krásno	99	80	A	M
4103	538337	1	2	903	9	Jan	Port			60	důchodce	Krásno	99	80	A	M
4103	538337	1	3	902	9	Oto	Wied			62	OSVČ	Krásno	99	80	A	M
4103	538337	1	4	470	9	Václav	Kříž	Mgr.		31	projektový manažer, příslušník aktivní zálohy AČR	Krásno	99	80	A	M
4103	538337	1	5	901	9	Vladimír	Lokaj			52	OSVČ	Krásno	99	80	A	M
4103	538337	1	1	904	10	Alexandra	Masopustová	Ing.		44	OSVČ	Krásno	99	80	A	F
4103	538337	1	2	903	10	Iva	Petrušková			46	dělnice	Krásno	99	80	A	F
4103	538337	1	3	902	10	Jan	Studnička			49	pracovník v lesním hospodářství	Krásno	99	80	A	M
4103	538337	1	4	470	10	Štěpánka	Svejkovská			21	studentka	Krásno	99	80	A	F
4103	538337	1	5	901	10	Rostislav	Bejček			50	pracovník v zemědělství	Krásno	99	80	A	M
4103	538337	1	1	904	11	Michaela	Krpejšová			37	OSVČ	Krásno	99	80	A	F
4103	538337	1	2	903	11	Ivan	Brislinger			75	důchodce	Krásno	7	80	A	M
4103	538337	1	3	902	11	Martin	David			50	technik	Krásno	99	80	A	M
4103	538337	1	4	470	11	Erich	Kříž	Mgr.		63	učitel	Krásno	99	80	A	M
4103	538337	1	5	901	11	Stanislav	Kmec			56	správce zeleně	Krásno	99	80	A	M
