OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5303	578584	1	1	902	1	Tomáš	Lopour	M	Mgr.		49	státní zaměstnanec	Pomezí	99	80	A
5303	578584	1	1	902	2	Vladimír	Šedý	M		DiS.	57	státní zaměstnanec	Pomezí	99	80	A
5303	578584	1	1	902	3	Jiří	Dočekal	M			55	technický pracovník	Pomezí	99	80	A
5303	578584	1	1	902	4	Marta	Zerzánková	F			52	účetní	Pomezí	99	80	A
5303	578584	1	1	902	5	Jiří	Svoboda	M	Mgr.		55	učitel základní školy	Pomezí	99	80	A
5303	578584	1	1	902	6	Milan	Nespěšný	M			54	vedoucí střediska	Pomezí	99	80	A
5303	578584	1	1	902	7	Robin	Bačovský	M			27	referent nákupu	Pomezí	99	80	A
5303	578584	1	1	902	8	Věra	Chemišincová	F			63	starostka	Pomezí	99	80	A
5303	578584	1	1	902	9	Tomáš	Nikl	M			45	technickohospodářský pracovník	Pomezí	99	80	A
5303	578584	1	1	902	10	Leoš	Šedý	M			54	řidič	Pomezí	99	80	A
5303	578584	1	1	902	11	Petr	Fajmon	M	Ing.		43	OSVČ	Pomezí	99	80	A
5303	578584	1	1	902	12	Petr	Němec	M			47	oblastní ředitel	Pomezí	99	80	A
5303	578584	1	1	902	13	Milan	Stýblo	M			41	mistr údržby	Pomezí	99	80	A
5303	578584	1	1	902	14	Martin	Vetešník	M			45	OSVČ	Pomezí	99	80	A
5303	578584	1	1	902	15	Marie	Duchečková	F			61	učitelka základní školy	Pomezí	99	80	A
5303	578584	1	2	901	1	Libor	Škorpík	M	Ing.		54	vedoucí servisního oddělení	Pomezí	99	80	A
5303	578584	1	2	901	2	Zdeněk	Stoklásek	M			66	podnikatel - instruktor Fitcentra	Pomezí	99	80	A
5303	578584	1	2	901	3	Zdeněk	Coufal	M			74	důchodce - autoelektrikář	Pomezí	99	80	A
5303	578584	1	2	901	4	Václav	Ohlídal	M			48	technik optických sítí	Pomezí	99	80	A
5303	578584	1	2	901	5	Adéla	Homolová	F	Ing.		38	krajinná inženýrka	Pomezí	99	80	A
5303	578584	1	2	901	6	Markéta	Iben Abed Hladká	F			44	OSVČ, terapeut celostní medicíny	Pomezí	99	80	A
5303	578584	1	2	901	7	Lenka	Maloňová	F			37	administrativní pracovnice	Pomezí	99	80	A
5303	578584	1	2	901	8	Antonín	Divoký	M			46	elektrotechnik	Pomezí	99	80	A
5303	578584	1	2	901	9	Jana	Venclová	F	Mgr.		65	vysokoškolský pedagog	Pomezí	99	80	A
5303	578584	1	2	901	10	Ivona	Svobodová	F			40	OSVČ, marketingový manažer	Pomezí	99	80	A
5303	578584	1	2	901	11	Lenka	Hegrová	F			48	sanitářka	Pomezí	99	80	A
5303	578584	1	2	901	12	Ondřej	Pachovský	M	Bc.		34	OSVČ, kovovýrobce	Pomezí	99	80	A
5303	578584	1	2	901	13	Marie	Prudká	F			51	referentka MěÚ	Pomezí	99	80	A
5303	578584	1	2	901	14	Vladimír	Musil	M			42	vedoucí stravovacích služeb	Pomezí	99	80	A
5303	578584	1	2	901	15	Pavla	Juklová	F	Mgr.		39	ředitelka Muzea a CBM v Poličce	Pomezí	99	80	A
