OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5303	578932	1	1	457	1	Vít	Břenek	M			46	technik Besip	Vendolí	99	80	A
5303	578932	1	1	457	2	Jiří	Pandula	M			57	lesní technik	Vendolí	99	80	A
5303	578932	1	1	457	3	Jaroslav	Čermák	M	Ing.		58	příslušník HZS	Vendolí	99	80	A
5303	578932	1	1	457	4	Věra	Paclíková	F	Mgr.		44	učitelka	Vendolí	99	80	A
5303	578932	1	1	457	5	Zuzana	Voříšková	F			57	účetní	Vendolí	99	80	A
5303	578932	1	1	457	6	Aleš	Bis	M	Ing.		45	OSVČ	Vendolí	99	80	A
5303	578932	1	1	457	7	Květa	Bártová	F			40	účetní	Vendolí	99	80	A
5303	578932	1	1	457	8	Lenka	Břenková	F			47	odborný referent	Vendolí	99	80	A
5303	578932	1	1	457	9	Jakub	Gruber	M			29	manažer	Vendolí	99	80	A
5303	578932	1	1	457	10	Martin	Buchta	M	Bc.		39	státní zaměstnanec	Vendolí	99	80	A
5303	578932	1	1	457	11	Petra	Hejtmánková	F			46	asistent advokátní kanceláře	Vendolí	99	80	A
5303	578932	1	2	901	1	Miroslav	Čejka	M			32	vedoucí prodejny	Vendolí	99	80	A
5303	578932	1	2	901	2	Jakub	Smělý	M	Ing.		34	vývoj termoregulačního modulu	Vendolí	99	80	A
5303	578932	1	2	901	3	Jiří	Buchta	M			35	hasič armády ČR	Vendolí	99	80	A
5303	578932	1	2	901	4	Filip	Sahula	M	Bc.		24	příslušník HZS - hasič	Vendolí	99	80	A
5303	578932	1	2	901	5	Štěpánka	Klementová	F			40	sanitářka	Vendolí	99	80	A
5303	578932	1	2	901	6	Jana	Opršálová	F			29	mateřská dovolená	Vendolí	99	80	A
5303	578932	1	2	901	7	Monika	Veselíková	F			45	zdravotní sestra	Vendolí	99	80	A
5303	578932	1	2	901	8	Hana	Svobodová	F			28	mateřská dovolená	Vendolí	99	80	A
5303	578932	1	2	901	9	Tereza	Ambrožová	F			26	prodavačka	Vendolí	99	80	A
5303	578932	1	2	901	10	Dušan	Pisca	M			33	řidič ZZS	Vendolí	99	80	A
5303	578932	1	2	901	11	Ondřej	Čejka	M			28	OSVČ	Vendolí	99	80	A
