OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
3207	560740	1	1	901	1	Lumír	Kadlec			54	starosta	Bezdružice	99	80	A	M
3207	560740	1	2	903	1	Jan	Soulek	Mgr.		54	ředitel základní školy	Bezdružice	99	80	A	M
3207	560740	1	3	902	1	Petr	Kalista	Ing.		65	zemědělský inženýr	Bezdružice	99	80	A	M
3207	560740	1	1	901	2	Alena	Kozáková			58	účetní	Bezdružice	99	80	A	F
3207	560740	1	2	903	2	Jiří	Bízek			65	strojvedoucí	Bezdružice	99	80	A	M
3207	560740	1	3	902	2	Dalibor	Kolesa			45	zemědělec	Bezdružice	99	80	A	M
3207	560740	1	1	901	3	Luděk	Štefanisko			53	obsluha vyvážecí soupravy	Bezdružice	99	80	A	M
3207	560740	1	2	903	3	Martin	Kadeřávek			38	operátor harvestoru	Bezdružice	99	80	A	M
3207	560740	1	3	902	3	Tomáš	Blažek			38	technik	Bezdružice	99	80	A	M
3207	560740	1	1	901	4	Jindřich	Myška	Bc.		52	státní zaměstnanec	Bezdružice	99	80	A	M
3207	560740	1	2	903	4	Petr	Maroušek			58	mistr	Bezdružice	99	80	A	M
3207	560740	1	3	902	4	Petr	Houser			44	řidič	Bezdružice	99	80	A	M
3207	560740	1	1	901	5	Martina	Hartenscheidtová	Mgr.		47	učitelka	Bezdružice	99	80	A	F
3207	560740	1	2	903	5	Milan	Červenka			60	elektrikář	Bezdružice	99	80	A	M
3207	560740	1	3	902	5	Lucie	Kalistová			32	učitelka MŠ	Bezdružice	99	80	A	F
3207	560740	1	1	901	6	Josef	Voříšek	Ing.		58	OSVČ, projektant	Bezdružice	99	80	A	M
3207	560740	1	2	903	6	Vladimíra	Havlíková			44	logistická koordinátorka	Bezdružice	99	80	A	F
3207	560740	1	3	902	6	Bohuslav	Sušír			49	podnikatel	Horní Polžice	99	80	A	M
3207	560740	1	1	901	7	Miroslav	Kemka	Ing.		76	důchodce	Bezdružice	47	80	A	M
3207	560740	1	2	903	7	Jitka	Kymlová			50	zdravotní sestra	Bezdružice	99	80	A	F
3207	560740	1	3	902	7	Petr	Holík			54	řidič	Bezdružice	99	80	A	M
3207	560740	1	1	901	8	Oldřich	Urbánek			49	svářeč	Bezdružice	99	80	A	M
3207	560740	1	2	903	8	František	Pustina			45	pekař	Bezdružice	99	80	A	M
3207	560740	1	3	902	8	Veronika	Blažková		DiS.	30	učitelka MŠ	Bezdružice	99	80	A	F
3207	560740	1	1	901	9	Ladislav	Košátko			45	svářeč	Bezdružice	99	80	A	M
3207	560740	1	2	903	9	Pavel	Valenta	Ing.	Ph.D.	34	vědeckovýzkumný a vývojový pracovník	Bezdružice	99	80	A	M
3207	560740	1	3	902	9	Petr	Čapek			27	dělník	Bezdružice	99	80	A	M
3207	560740	1	1	901	10	Lucie	Kozáková	Ing.		35	učitelka	Bezdružice	99	80	A	F
3207	560740	1	2	903	10	Pavla	Vítů			39	fakturantka	Bezdružice	99	80	A	F
3207	560740	1	3	902	10	Ivo	Štefanisko			56	lesní technik	Bezdružice	99	80	A	M
3207	560740	1	1	901	11	Miroslav	Honz			43	dělník	Bezdružice	99	80	A	M
3207	560740	1	2	903	11	Zuzana	Mašková			31	manažerka kvality	Bezdružice	99	80	A	F
3207	560740	1	3	902	11	Zdeněk	Procházka			46	podnikatel	Bezdružice	99	80	A	M
3207	560740	1	1	901	12	Jana	Křížová			56	sanitární pracovnice	Bezdružice	99	80	A	F
3207	560740	1	2	903	12	Ota	Hovorka			59	soukromý zemědělec	Kamýk	99	80	A	M
3207	560740	1	3	902	12	Radek	Landa			48	řidič	Bezdružice	99	80	A	M
3207	560740	1	1	901	13	Milouš	Honz			80	důchodce	Křivce	47	80	A	M
3207	560740	1	2	903	13	Ľudovít	Timár			34	operátor vyvážecí soupravy	Bezdružice	99	80	A	M
3207	560740	1	3	902	13	Radek	Mašín			25	logistik	Bezdružice	99	80	A	M
3207	560740	1	1	901	14	Jakub	Barna			26	OSVČ - cukrář	Bezdružice	99	80	A	M
3207	560740	1	2	903	14	Martin	Vrána			34	řidič autobusu	Bezdružice	99	80	A	M
3207	560740	1	3	902	14	Lukáš	Čada			27	podnikatel	Bezdružice	99	80	A	M
3207	560740	1	1	901	15	Marie	Tintěrová			73	důchodce	Bezdružice	99	80	A	F
3207	560740	1	2	903	15	Jiří	Krüger			33	operátor výroby	Bezdružice	99	80	A	M
3207	560740	1	3	902	15	Sára	Myšková			18	studentka	Bezdružice	99	80	A	F
