OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
5205	579424	1	1	902	1	Miroslava	Kracíková			58	starosta	Kunčice nad Labem	99	80	A	F
5205	579424	1	2	901	1	Michal	Vejnar			50	řidič	Kunčice nad Labem	99	80	A	M
5205	579424	1	3	903	1	Jan	Boček			40	strojvedoucí ČD, předseda TJ Sokol Kunčice n/L	Kunčice nad Labem	99	80	A	M
5205	579424	1	1	902	2	Karel	Kužel	Bc.		39	technik	Kunčice nad Labem	99	80	A	M
5205	579424	1	2	901	2	Hana	Kučerová			50	laborantka	Kunčice nad Labem	99	80	A	F
5205	579424	1	3	903	2	Vladimír	Sturm	Mgr.		72	důchodce, předseda oddílu tenisu TJ Sokol Kunčice n/L	Kunčice nad Labem	99	80	A	M
5205	579424	1	1	902	3	Petra	Hromádková			42	OSVČ	Kunčice nad Labem	99	80	A	F
5205	579424	1	2	901	3	Jana	Kuželová			38	kadeřnice	Kunčice nad Labem	99	80	A	F
5205	579424	1	3	903	3	Renáta	Jehličková	Mgr.		53	učitelka, členka TJ Sokol Kunčice n/L	Kunčice nad Labem	99	80	A	F
5205	579424	1	1	902	4	Jiří	Žďárský	Ing.		73	důchodce	Kunčice nad Labem	99	80	A	M
5205	579424	1	2	901	4	Adam	Kracík	Ing.		37	manažer	Kunčice nad Labem	99	80	A	M
5205	579424	1	3	903	4	Petr	Jirkovský			58	OSVČ, člen TJ Sokol Kunčice n/L	Kunčice nad Labem	99	80	A	M
5205	579424	1	1	902	5	Pavel	Blažek			23	policista	Kunčice nad Labem	99	80	A	M
5205	579424	1	2	901	5	Václav	Strnad			54	dělník	Kunčice nad Labem	99	80	A	M
5205	579424	1	3	903	5	Ladislav	Szombat			46	operátor výroby Škoda Auto, a.s., člen TJ Sokol Kunčice n/L	Kunčice nad Labem	99	80	A	M
5205	579424	1	1	902	6	Veronika	Mejsnarová			40	účetní	Kunčice nad Labem	99	80	A	F
5205	579424	1	2	901	6	Zdeňka	Rousková			47	prodavačka	Kunčice nad Labem	99	80	A	F
5205	579424	1	3	903	6	Roman	Jehlička	Mgr.		29	učitel, člen TJ Sokol Kunčice n/L	Kunčice nad Labem	99	80	A	M
5205	579424	1	1	902	7	Pavel	Jeřábek			62	OSVČ	Kunčice nad Labem	99	80	A	M
5205	579424	1	2	901	7	Renata	Blažková			49	kuchařka	Kunčice nad Labem	99	80	A	F
5205	579424	1	3	903	7	Jakub	Petrák			34	zdravotnický záchranář, člen TJ Sokol Kunčice n/L	Kunčice nad Labem	99	80	A	M
5205	579424	1	1	902	8	Eliška	Matoušová			71	důchodce	Kunčice nad Labem	99	80	A	F
5205	579424	1	2	901	8	David	Jeřábek			38	řidič	Kunčice nad Labem	99	80	A	M
5205	579424	1	3	903	8	David	Erlebach			51	strojvedoucí ČD, člen TJ Sokol Kunčice n/L	Kunčice nad Labem	99	80	A	M
5205	579424	1	1	902	9	Eliška	Rousová			70	důchodce	Kunčice nad Labem	99	80	A	F
5205	579424	1	2	901	9	Marek	Švec			40	dělník	Kunčice nad Labem	99	80	A	M
5205	579424	1	3	903	9	Jarmila	Kopáčková			50	operátor DTP KRPA - FORM, a.s., členka TJ Sokol Kunčice n/L	Kunčice nad Labem	99	80	A	F
