OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5205	574597	1	1	901	1	Jaroslava	Peterová	F			49	pedagogický pracovník	Vilantice	99	80	A
5205	574597	1	1	901	2	Jana	Holubová	F	Bc.		38	účetní	Vilantice	99	80	A
5205	574597	1	1	901	3	Michal	Štípek	M			50	OSVČ	Vilantice	99	80	A
5205	574597	1	1	901	4	Martin	Petera	M			48	OSVČ	Vilantice	99	80	A
5205	574597	1	1	901	5	Vít	Holub	M			42	lesní technik	Vilantice	99	80	A
5205	574597	1	1	901	6	Martin	Novotný	M			48	řidič	Vilantice	99	80	A
5205	574597	1	1	901	7	Michal	Rejl	M			22	správce ICT	Chotěborky	99	80	A
5205	574597	1	1	901	8	Ludmila	Šplíchalová	F			48	pečovatelka	Chotěborky	99	80	A
5205	574597	1	1	901	9	Miroslav	Novotný	M			53	OSVČ	Vilantice	99	80	A
5205	574597	1	2	902	1	Dagmar	Jarošová	F			58	starostka	Vilantice	99	80	A
5205	574597	1	2	902	2	Zdeněk	Blahovec	M			67	podnikatel	Vilantice	99	80	A
5205	574597	1	2	902	3	Petr	Jaroš	M			40	technik	Vilantice	99	80	A
5205	574597	1	2	902	4	Jana	Melichárková	F	Bc.		32	radiologická laborantka	Vilantice	99	80	A
5205	574597	1	2	902	5	Josef	Fiala	M	Ing.		74	důchodce	Vilantice	99	80	A
5205	574597	1	2	902	6	Jana	Baxová	F	Bc.		43	úřednice	Vilantice	99	80	A
5205	574597	1	2	902	7	Pavlína	Blahovcová	F			42	účetní	Vilantice	99	80	A
5205	574597	1	2	902	8	Tomáš	Kysela	M			32	technik	Vilantice	99	80	A
5205	574597	1	2	902	9	Zdeněk	Hlaváček	M			56	technik	Vilantice	99	80	A
