OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
7202	550736	1	1	901	1	Patrik	Janota	Mgr.		31	učitel	Hostětín	99	80	A	M
7202	550736	1	2	1	1	Daniel	Šenkeřík	MgA.		46	starosta obce, grafik	Hostětín	99	1	A	M
7202	550736	1	3	801	1	Radim	Machů			49	geograf	Hostětín	99	80	A	M
7202	550736	1	1	901	2	Naděžda	Hamšíková			57	výpravčí	Hostětín	99	80	A	F
7202	550736	1	2	1	2	Hedvika	Malcová			60	administrativní pracovnice	Hostětín	99	1	A	F
7202	550736	1	1	901	3	Robert	Janota	Ing.		57	OSVČ	Hostětín	99	80	A	M
7202	550736	1	2	1	3	Radim	Lysáček			43	montér	Hostětín	99	1	A	M
7202	550736	1	1	901	4	Petr	Novák	Ing.		55	produktový manažer	Hostětín	99	80	A	M
7202	550736	1	2	1	4	Karel	Kostka			50	řidič	Hostětín	99	1	A	M
7202	550736	1	1	901	5	Mikoláš	Werner			37	vedoucí obchodu	Hostětín	99	80	A	M
7202	550736	1	2	1	5	František	Bartoš			56	řidič	Hostětín	99	1	A	M
7202	550736	1	1	901	6	Jakub	Mikel	Bc.		28	stavbyvedoucí	Hostětín	99	80	A	M
7202	550736	1	2	1	6	Stanislava	Starobová			61	kadeřnice	Hostětín	99	1	A	F
7202	550736	1	1	901	7	Radek	Velík			24	OSVČ	Hostětín	99	80	A	M
7202	550736	1	2	1	7	Jarmila	Studeníková			64	důchodkyně	Hostětín	1	1	A	F
