OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	POHLAVI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST
5304	581178	1	1	7	1	Luděk	Skalický	M		DiS.	40	starosta obce Výprachtice	Výprachtice	7	7	A
5304	581178	1	1	7	2	Miroslav	Stejskal	M	JUDr.		67	místostarosta obce Výprachtice	Výprachtice	7	7	A
5304	581178	1	1	7	3	Vojtěch	Chládek	M	Ing.		30	pracovník v zemědělství	Výprachtice	7	7	A
5304	581178	1	1	7	4	Hana	Katzerová	F	Mgr.		58	učitelka ZŠ	Koburk	7	7	A
5304	581178	1	1	7	5	Michael	Kuttich	M			28	soukromý zemědělec	Výprachtice	7	7	A
5304	581178	1	1	7	6	Jan	Koubek	M			51	sládek	Výprachtice	99	7	A
5304	581178	1	1	7	7	Jiří	Formánek	M	Mgr.		51	zástupce ředitele ZŠ	Výprachtice	99	7	A
5304	581178	1	1	7	8	Petr	Skalický	M			50	revizní technik	Koburk	99	7	A
5304	581178	1	1	7	9	Vendula	Indrová	F	Ing.		45	projektantka	Výprachtice	99	7	A
5304	581178	1	1	7	10	Zbyněk	Kristek	M			51	obchodní ředitel	Výprachtice	99	7	A
5304	581178	1	1	7	11	Šárka	Fišerová	F	Mgr.		43	učitelka ZŠ	Koburk	99	7	A
