OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
7203	544396	1	1	901	1	Milan	Daňa	Ing.		38	starosta obce	Liptál	99	80	A	M
7203	544396	1	1	901	2	Filip	Tomanec			42	místostarosta obce	Liptál	99	80	A	M
7203	544396	1	1	901	3	Miroslav	Hrádek	Ing.		48	konstruktér	Liptál	99	80	A	M
7203	544396	1	1	901	4	Vítězslav	Čech	MUDr.		68	lékař	Liptál	99	80	A	M
7203	544396	1	1	901	5	Věra	Dorušková	Ing.		39	rodičovská dovolená	Liptál	99	80	A	F
7203	544396	1	1	901	6	Darina	Geržová	Bc.		37	učitelka MŠ	Liptál	99	80	A	F
7203	544396	1	1	901	7	Jan	Maliňák			37	mechanik, seřizovač	Liptál	99	80	A	M
7203	544396	1	1	901	8	Petr	Marek			48	živnostník	Liptál	99	80	A	M
7203	544396	1	1	901	9	Ondřej	Vaculík	Ing.		39	policista	Liptál	99	80	A	M
7203	544396	1	1	901	10	Lubomír	Vaculík			56	živnostník	Liptál	99	80	A	M
7203	544396	1	1	901	11	Veronika	Jurásková			43	kuchařka	Liptál	99	80	A	F
7203	544396	1	1	901	12	Jana	Trochtová			42	referent nákupu	Liptál	99	80	A	F
7203	544396	1	1	901	13	Zdeněk	Kleska			32	živnostník	Liptál	99	80	A	M
7203	544396	1	1	901	14	Matěj	Vaculík	Mgr.		28	IT vývojář	Liptál	99	80	A	M
7203	544396	1	1	901	15	Lumír	Smilek			47	stavební technik	Liptál	99	80	A	M
