OKRES	KODZASTUP	COBVODU	POR_STR_HL	OSTRANA	PORCISLO	JMENO	PRIJMENI	TITULPRED	TITULZA	VEK	POVOLANI	BYDLISTEN	PSTRANA	NSTRANA	PLATNOST	POHLAVI
6207	595128	1	1	901	1	Jiří	Písař			46	starosta obce	Vrbovec	99	80	A	M
6207	595128	1	2	1	1	Pavel	Kochan	Bc.		48	geodet	Vrbovec	99	1	A	M
6207	595128	1	3	470	1	Jiří	Pastyřík			41	vedoucí provozovny	Vrbovec	99	80	A	M
6207	595128	1	1	901	2	Petr	Čech	Ing.		48	manažer	Vrbovec	99	80	A	M
6207	595128	1	2	1	2	David	Kubík	Bc.		45	OSVČ	Vrbovec	99	1	A	M
6207	595128	1	3	470	2	Lubomír	Kratochvíl			43	technik v telekomunikačních sítích	Vrbovec	99	80	A	M
6207	595128	1	1	901	3	Pavel	Lysák			35	státní zaměstnanec	Hnízdo	99	80	A	M
6207	595128	1	2	1	3	Radek	Auer			45	údržbář	Hnízdo	99	1	A	M
6207	595128	1	3	470	3	Kamila	Buršíková			42	zdravotní sestra	Vrbovec	99	80	A	F
6207	595128	1	1	901	4	Vojtěch	Barcal	Mgr.		33	učitel	Vrbovec	99	80	A	M
6207	595128	1	2	1	4	Zdeněk	Zábojník			52	OSVČ	Vrbovec	1	1	A	M
6207	595128	1	3	470	4	Jiří	Jenek			41	číšník	Vrbovec	99	80	A	M
6207	595128	1	1	901	5	Radek	Šnajder	Ing.		34	vinohradník	Vrbovec	99	80	A	M
6207	595128	1	2	1	5	Libor	Kubík			58	stolař v důchodu	Vrbovec	1	1	A	M
6207	595128	1	3	470	5	Petr	Slováček			38	vedoucí ve výrobě	Vrbovec	99	80	A	M
6207	595128	1	1	901	6	Robert	Čech			46	výrobní ředitel	Vrbovec	99	80	A	M
6207	595128	1	2	1	6	Jan	Vaněk			47	OSVČ	Vrbovec	99	1	A	M
6207	595128	1	3	470	6	Luboš	Ruda			33	policista	Vrbovec	99	80	A	M
6207	595128	1	1	901	7	Stanislav	Bajgl	Ing.		34	manažer kvality	Vrbovec	99	80	A	M
6207	595128	1	2	1	7	Petr	Kubík	Bc.		32	technik	Vrbovec	99	1	A	M
6207	595128	1	3	470	7	Petra	Velochová			29	učitelka	Vrbovec	99	80	A	F
6207	595128	1	1	901	8	Jana	Svobodová			54	účetní	Vrbovec	99	80	A	F
6207	595128	1	2	1	8	Radim	Zukal	Ing.		33	vedoucí provozu	Vrbovec	99	1	A	M
6207	595128	1	3	470	8	Mirka	Masarovičová			42	učitelka	Vrbovec	99	80	A	F
6207	595128	1	1	901	9	Eva	Pokorná			58	prodavačka	Vrbovec	99	80	A	F
6207	595128	1	2	1	9	Josef	Meister			56	správa železnic	Hnízdo	99	1	A	M
6207	595128	1	3	470	9	Michal	Velocha			40	OSVČ	Vrbovec	99	80	A	M
6207	595128	1	1	901	10	Dagmar	Fišerová			57	vedoucí stravování	Vrbovec	99	80	A	F
6207	595128	1	2	1	10	Jan	Klásek			51	dělník	Hnízdo	99	1	A	M
6207	595128	1	3	470	10	Lubomír	Štola			42	provozní	Vrbovec	99	80	A	M
6207	595128	1	1	901	11	Monika	Palaščáková			50	vinařka	Vrbovec	99	80	A	F
6207	595128	1	2	1	11	František	Maňura			63	instalatér v důchodu	Vrbovec	1	1	A	M
6207	595128	1	3	470	11	Eva	Pastyříková			44	prodavačka	Vrbovec	99	80	A	F
6207	595128	1	1	901	12	Marek	Boor			45	ředitel výrobní společnosti	Vrbovec	99	80	A	M
6207	595128	1	2	1	12	Rostislav	Ištvánek			58	OSVČ	Vrbovec	99	1	A	M
6207	595128	1	3	470	12	Roman	Šopoň			43	OSVČ	Vrbovec	99	80	A	M
6207	595128	1	1	901	13	Václav	Schőner			26	operátor výroby	Hnízdo	99	80	A	M
6207	595128	1	2	1	13	Roman	Kurek			41	dělník	Vrbovec	99	1	A	M
6207	595128	1	3	470	13	Milan	Bartoník			42	OSVČ	Vrbovec	99	80	A	M
6207	595128	1	1	901	14	Jan	Mihálík			31	operátor robotického systému	Vrbovec	99	80	A	M
6207	595128	1	2	1	14	Jana	Zábojníková			52	vedoucí provozu	Vrbovec	1	1	A	F
6207	595128	1	1	901	15	Miloš	Skopal			51	instalatér	Vrbovec	99	80	A	M
6207	595128	1	2	1	15	Eva	Kubíková	Mgr.		41	učitelka	Vrbovec	99	1	A	F
